X 0 vars=V0:10,V1:538,V2:26,V2:453,V3:126,V4:402,V5:228,V5:698,V6:485,V6:550,V7:438,V7:692,V8:134,V8:182,V9:584,V10:176,V11:86,V11:515 unsat=C0:39,C0:462
X 28 vars=V0:458,V1:474,V2:474,V2:517,V3:62,V4:82,V5:634,V5:676,V6:230,V6:549,V7:372,V7:374,V8:582,V8:630,V9:264,V10:624,V11:22,V11:579 unsat=C0:103,C0:142
X 29 vars=V0:474,V1:746,V2:53,V2:490,V3:718,V4:98,V5:116,V5:138,V6:85,V6:630,V7:262,V7:580,V8:214,V8:262,V9:88,V10:448,V11:678,V11:691 unsat=C0:542,C0:599
X 30 vars=V0:490,V1:250,V2:357,V2:506,V3:606,V4:114,V5:324,V5:410,V6:262,V6:389,V7:20,V7:150,V8:614,V8:662,V9:680,V10:272,V11:35,V11:566 unsat=C0:174,C0:327
X 31 vars=V0:506,V1:522,V2:522,V2:661,V3:494,V4:130,V5:532,V5:682,V6:662,V6:693,V7:38,V7:228,V8:246,V8:294,V9:504,V10:96,V11:147,V11:454 unsat=C0:55,C0:574
X 32 vars=V0:522,V1:26,V2:197,V2:538,V3:382,V4:146,V5:186,V5:740,V6:229,V6:294,V7:436,V7:694,V8:646,V8:694,V9:328,V10:688,V11:259,V11:342 unsat=C0:206,C0:551
X 33 vars=V0:538,V1:298,V2:501,V2:554,V3:270,V4:162,V5:180,V5:458,V6:533,V6:694,V7:582,V7:644,V8:278,V8:326,V9:152,V10:512,V11:230,V11:371 unsat=C0:279,C0:606
X 34 vars=V0:554,V1:570,V2:37,V2:570,V3:158,V4:178,V5:388,V5:730,V6:69,V6:326,V7:84,V7:470,V8:678,V8:726,V9:744,V10:336,V11:118,V11:483 unsat=C0:7,C0:238
X 35 vars=V0:570,V1:74,V2:341,V2:586,V3:46,V4:194,V5:234,V5:596,V6:373,V6:726,V7:292,V7:358,V8:310,V8:358,V9:568,V10:160,V11:6,V11:595 unsat=C0:503,C0:638
X 36 vars=V0:586,V1:346,V2:602,V2:645,V3:702,V4:210,V5:36,V5:506,V6:358,V6:677,V7:246,V7:500,V8:710,V8:758,V9:392,V10:752,V11:662,V11:707 unsat=C0:231,C0:270
X 37 vars=V0:602,V1:618,V2:181,V2:618,V3:590,V4:226,V5:10,V5:244,V6:213,V6:758,V7:134,V7:708,V8:342,V8:390,V9:216,V10:576,V11:51,V11:550 unsat=C0:670,C0:727
X 38 vars=V0:618,V1:122,V2:485,V2:634,V3:478,V4:242,V5:282,V5:452,V6:390,V6:517,V7:22,V7:148,V8:22,V8:742,V9:40,V10:400,V11:163,V11:438 unsat=C0:302,C0:455
X 39 vars=V0:634,V1:394,V2:21,V2:650,V3:366,V4:258,V5:554,V5:660,V6:22,V6:53,V7:356,V7:678,V8:374,V8:422,V9:632,V10:224,V11:275,V11:326 unsat=C0:183,C0:702
X 40 vars=V0:650,V1:666,V2:325,V2:666,V3:254,V4:274,V5:58,V5:100,V6:357,V6:422,V7:564,V7:566,V8:6,V8:54,V9:456,V10:48,V11:214,V11:387 unsat=C0:334,C0:679
X 41 vars=V0:666,V1:170,V2:629,V2:682,V3:142,V4:290,V5:308,V5:330,V6:54,V6:661,V7:4,V7:454,V8:406,V8:454,V9:280,V10:640,V11:102,V11:499 unsat=C0:407,C0:734
X 42 vars=V0:682,V1:442,V2:165,V2:698,V3:30,V4:306,V5:516,V5:602,V6:197,V6:454,V7:212,V7:342,V8:38,V8:86,V9:104,V10:464,V11:611,V11:758 unsat=C0:135,C0:366
X 43 vars=V0:698,V1:714,V2:469,V2:714,V3:686,V4:322,V5:106,V5:724,V6:86,V6:501,V7:230,V7:420,V8:438,V8:486,V9:696,V10:288,V11:646,V11:723 unsat=C0:631,C0:766
X 44 vars=V0:714,V1:218,V2:5,V2:730,V3:574,V4:338,V5:164,V5:378,V6:37,V6:486,V7:118,V7:628,V8:70,V8:118,V9:520,V10:112,V11:67,V11:534 unsat=C0:359,C0:398
X 45 vars=V0:730,V1:490,V2:309,V2:746,V3:462,V4:354,V5:372,V5:650,V6:118,V6:341,V7:6,V7:68,V8:470,V8:518,V9:344,V10:704,V11:179,V11:422 unsat=C0:30,C0:87
X 46 vars=V0:746,V1:762,V2:613,V2:762,V3:350,V4:370,V5:154,V5:580,V6:518,V6:645,V7:276,V7:662,V8:102,V8:150,V9:168,V10:528,V11:291,V11:310 unsat=C0:430,C0:583
X 47 vars=V0:762,V1:266,V2:10,V2:149,V3:238,V4:386,V5:20,V5:426,V6:150,V6:181,V7:484,V7:550,V8:502,V8:550,V9:760,V10:352,V11:198,V11:403 unsat=C0:62,C0:311
