X 45 vars=V0:36,V2:692,V4:612,V6:213,V6:566,V7:334,V8:246,V8:550,V9:254,V11:446 unsat=C2:309,C2:565
X 46 vars=V0:36,V2:724,V4:404,V6:150,V6:358,V7:366,V9:46,V10:166,V10:709,V11:446 unsat=C1:37,C1:293
X 47 vars=V0:44,V2:28,V4:20,V6:742,V7:6,V7:254,V8:726,V10:334,V11:622,V11:741 unsat=C2:101,C2:229
X 48 vars=V0:44,V2:68,V4:52,V6:742,V7:262,V7:573,V8:382,V9:414,V9:662,V10:366 unsat=C0:61,C0:701
X 49 vars=V0:44,V2:188,V4:364,V6:230,V6:669,V7:6,V9:150,V10:110,V10:294,V11:70 unsat=C0:189,C0:701
X 50 vars=V0:44,V2:220,V4:668,V7:6,V8:150,V8:734,V9:694,V10:86,V10:141,V11:630 unsat=C2:173,C2:429
X 51 vars=V0:44,V2:292,V4:60,V6:742,V8:606,V9:629,V9:638,V10:758,V11:278,V11:526 unsat=C1:117,C1:757
X 52 vars=V0:44,V2:444,V4:364,V6:157,V6:190,V7:470,V8:174,V8:382,V9:390,V11:70 unsat=C2:253,C2:509
X 53 vars=V0:44,V2:732,V4:156,V6:286,V6:750,V7:758,V9:182,V10:141,V10:302,V11:70 unsat=C1:237,C1:493
X 54 vars=V0:44,V2:748,V4:124,V7:6,V8:126,V8:605,V9:150,V10:62,V10:110,V11:70 unsat=C0:189,C0:701
X 55 vars=V0:44,V2:748,V4:636,V6:558,V6:742,V7:6,V8:166,V8:349,V9:454,V11:86 unsat=C1:125,C1:637
X 56 vars=V0:50,V6:324,V6:460,V7:356,V8:500,V8:652,V9:244,V10:76,V11:12,V11:572 unsat=C0:275,C0:548
X 57 vars=V0:52,V2:36,V4:540,V6:366,V7:142,V7:390,V8:350,V10:470,V11:246,V11:685 unsat=C2:45,C2:173
X 58 vars=V0:52,V2:44,V4:68,V6:366,V8:742,V9:262,V9:573,V10:382,V11:414,V11:662 unsat=C1:61,C1:701
X 59 vars=V0:52,V2:196,V4:116,V6:101,V6:582,V7:606,V8:518,V8:566,V9:526,V11:462 unsat=C2:197,C2:453
X 60 vars=V0:52,V2:228,V4:420,V7:142,V8:358,V8:542,V9:62,V10:222,V10:341,V11:254 unsat=C2:117,C2:373
X 61 vars=V0:52,V2:500,V4:132,V7:142,V8:37,V8:262,V9:542,V10:246,V10:454,V11:462 unsat=C0:133,C0:389
X 62 vars=V0:52,V2:500,V4:644,V6:182,V6:366,V7:142,V8:302,V8:549,V9:78,V11:222 unsat=C1:69,C1:581
X 63 vars=V0:52,V2:588,V4:572,V6:366,V7:5,V7:398,V8:518,V9:38,V9:286,V10:502 unsat=C0:133,C0:261
X 64 vars=V0:52,V2:708,V4:116,V6:613,V6:622,V7:142,V9:542,V10:246,V10:430,V11:462 unsat=C0:133,C0:389
X 65 vars=V0:52,V2:740,V4:676,V6:374,V6:422,V7:382,V9:318,V10:341,V10:438,V11:462 unsat=C1:437,C1:693
X 66 vars=V0:60,V2:44,V4:292,V6:758,V7:278,V7:526,V8:742,V10:606,V11:629,V11:638 unsat=C2:117,C2:757
X 67 vars=V0:60,V2:236,V4:172,V7:278,V8:166,V8:750,V9:198,V10:358,V10:541,V11:646 unsat=C2:61,C2:317
X 68 vars=V0:60,V2:252,V4:140,V7:278,V8:237,V8:398,V9:166,V10:78,V10:382,V11:86 unsat=C0:333,C0:589
X 69 vars=V0:60,V2:252,V4:652,V6:574,V6:758,V7:278,V8:438,V8:749,V9:470,V11:358 unsat=C1:13,C1:525
X 70 vars=V0:60,V2:340,V4:324,V6:758,V7:205,V7:534,V8:654,V9:430,V9:678,V10:638 unsat=C0:333,C0:461
X 71 vars=V0:60,V2:460,V4:636,V6:246,V6:557,V7:278,V9:166,V10:382,V10:566,V11:86 unsat=C0:333,C0:589
X 72 vars=V0:60,V2:564,V4:76,V6:758,V8:110,V9:517,V9:654,V10:6,V11:30,V11:550 unsat=C1:5,C1:645
X 73 vars=V0:60,V2:716,V4:636,V6:45,V6:206,V7:742,V8:190,V8:654,V9:662,V11:86 unsat=C2:141,C2:397
X 74 vars=V0:60,V2:748,V4:428,V6:558,V6:766,V7:6,V9:454,V10:541,V10:574,V11:86 unsat=C1:125,C1:637
X 75 vars=V0:68,V2:4,V4:148,V7:414,V8:437,V8:534,V9:558,V10:470,V10:518,V11:478 unsat=C0:21,C0:533
X 76 vars=V0:68,V2:4,V4:660,V6:198,V6:382,V7:414,V8:181,V8:574,V9:94,V11:494 unsat=C1:469,C1:725
X 77 vars=V0:68,V2:52,V4:44,V6:382,V7:414,V7:662,V8:366,V10:742,V11:262,V11:573 unsat=C2:61,C2:701
X 78 vars=V0:68,V2:92,V4:76,V6:382,V7:405,V7:670,V8:22,V9:54,V9:302,V10:6 unsat=C0:533,C0:661
X 79 vars=V0:68,V2:212,V4:388,V6:501,V6:638,V7:414,V9:558,V10:518,V10:702,V11:478 unsat=C0:21,C0:533
X 80 vars=V0:68,V2:244,V4:692,V7:414,V8:374,V8:558,V9:334,V10:494,V10:741,V11:270 unsat=C2:5,C2:261
X 81 vars=V0:68,V2:316,V4:84,V6:382,V8:246,V9:278,V9:461,V10:398,V11:166,V11:686 unsat=C1:589,C1:717
X 82 vars=V0:68,V2:468,V4:388,V6:598,V6:757,V7:110,V8:22,V8:582,V9:30,V11:478 unsat=C2:85,C2:341
X 83 vars=V0:68,V2:756,V4:180,V6:390,V6:694,V7:398,V9:590,V10:710,V10:741,V11:478 unsat=C1:69,C1:325
X 84 vars=V0:74,V6:100,V6:732,V7:764,V8:140,V8:292,V9:652,V10:484,V11:212,V11:420 unsat=C0:107,C0:188
X 85 vars=V0:76,V2:60,V4:564,V6:6,V7:30,V7:550,V8:758,V10:110,V11:517,V11:654 unsat=C2:5,C2:645
X 86 vars=V0:76,V2:68,V4:92,V6:6,V8:382,V9:405,V9:670,V10:22,V11:54,V11:302 unsat=C1:533,C1:661
X 87 vars=V0:76,V2:220,V4:140,V6:222,V6:701,V7:246,V8:158,V8:206,V9:166,V11:102 unsat=C2:29,C2:285
X 88 vars=V0:76,V2:252,V4:444,V7:550,V8:182,V8:766,V9:470,V10:173,V10:630,V11:662 unsat=C2:205,C2:717
